"case","prediction","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7","Event_8","Event_9","Event_10","Event_11","Event_12","Event_13","Event_14","Event_15","Event_16","Event_17","Event_18","Event_19","Event_20","Event_21","Event_22","Event_23","Event_24","Event_25","Event_26","Event_27","Event_28","Event_29","Event_30","Event_31","Event_32","Event_33","Event_34","Event_35","Event_36","Event_37","Event_38","Event_39","Event_40"
"NAF_6879","CMS1",0.668654501680373,0.456447764117168,0.769723040967189,0.369384638289252,0.492365160056423,0.524795456991944,0.272083913466616,0.225999570662881,0.237529369882055,0.239211871973534,0.40132169074469,0.487324088779893,0.446578312898055,0.428788697579876,0.753512024180964,0.778084085555747,0.611133591504768,0.879658978665248,0.964915574761108,0.779651491437107,0.67476510303095,0.462606726912782,0.541790829738602,0.596610662527382,0.422438143985346,0.899181138025597,0.313578508561477,0.18092940049246,0.589943912345916,0.0620943559333682,0.329289109446108,0.163088139379397,0.721410758560523,0.723425681004301,0.106874004239216,0.684163462137803,0.0629170811735094,0.0357304173521698,0.405399075942114,0.525286247488111
"OSA_54910","CMS1",0.713309491587082,0.696391993044922,0.871503185426142,0.381501906251604,0.424250966769813,0.26213388444757,0.0406629427793528,0.31333874413836,0.129576045944393,0.137757096983477,0.262715081305752,0.320331288537093,0.61043685907498,0.995052125770599,0.650568353012204,0.157044288236648,0.669751425972208,0.996598963160068,0.811982375802472,0.591264838352799,0.421890930039808,0.863253840478137,0.0618064356967807,0.952073904452845,0.242648890241981,0.262971002841368,0.860630005830899,0.709152387222275,0.346718578599393,0.739601348526776,0.991492665372789,0.432068157941103,0.274538056459278,0.778600245947018,0.97722054598853,0.332275125663728,0.475062192417681,0.0447187363170087,0.462053945986554,0.399139490677044
"SYE_1839","CMS1",0.712469536737059,0.343294122665133,0.731812414377092,0.61193976104722,0.226256708638374,0.424709310519866,0.590835879936776,0.327102359245159,0.198017863327844,0.529680951782494,0.41618561670768,0.43133250607661,0.192548789549619,0.0373235682491213,0.744143521180376,0.592920782743022,0.916340217925608,0.321248194668442,0.340980149572715,0.750200865324587,0.587916627526283,0.475691856816411,0.782656469615176,0.0731652795802802,0.193699098890647,0.59882348915562,0.375918920151889,0.211272246204317,0.355092872399837,0.212036466691643,0.723880879580975,0.855539188953117,0.736967651173472,0.0832433947362006,0.524253876879811,0.685142687056214,0.849223033292219,0.248813378857449,0.00757718738168478,0.755668142344803
"BYL_51097","CMS1",0.658193753072993,0.753226696016959,0.535611366499719,0.064522709840808,0.476454051604643,0.14165828416344,0.399794564085563,0.33078761702158,0.485393102967209,0.321146870968854,0.287587361272206,0.356281966951101,0.247399802785367,0.64972773543559,0.985049596754834,0.702360036084428,0.266725732944906,0.413081939332187,0.0683555984869599,0.0167370156850666,0.147345858626068,0.698267375351861,0.374206316890195,0.602555616991594,0.196412656223401,0.930196517147124,0.268406421644613,0.601623775670305,0.215007117949426,0.802330162143335,0.10999542591162,0.367818717146292,0.450922419084236,0.522133724763989,0.534815626218915,0.00109612569212914,0.328062851447612,0.191707057878375,0.448047349927947,0.558161308290437
"TMU_8193","CMS1",0.301664638079986,0.669316104675501,0.565424775395241,0.196721791744076,0.588405388755323,0.313758029105482,0.437000533904034,0.489196512814066,0.398919056363635,0.649083068516787,0.321410425375405,0.299228468931787,0.941346615320072,0.495976844104007,0.44971940969117,0.323336324188858,0.284969490021467,0.0828547219280154,0.0866892822086811,0.739808301441371,0.860946325818077,0.622468599583954,0.584243895485997,0.805354028940201,0.667571539990604,0.306190311908722,0.597183706937358,0.557123886886984,0.528753459919244,0.666032363660634,0.795479070162401,0.681588033679873,0.194301350973547,0.0056226949673146,0.451799982460216,0.45026917476207,0.089197137625888,0.646644221851602,0.00999163254164159,0.0692690948490053
"YEP_7954","CMS1",0.743924514567788,0.575668966600187,0.735597430873356,0.297643490141042,0.653992869536699,0.371921145150525,0.585189993771542,0.423358944876197,0.577521546890071,0.235000231871522,0.299766653874899,0.365436382346623,0.629750427091494,0.92994589661248,0.689346297411248,0.0445794486440718,0.302932237973437,0.115734830033034,0.646838087122887,0.891713299555704,0.0398562741465867,0.644079581135884,0.177912491606548,0.136554204160348,0.46328725060448,0.134075944311917,0.790045264409855,0.656934210797772,0.668979479698464,0.284570807823911,0.152171500958502,0.828136152587831,0.756672845222056,0.601842827629298,0.978181714657694,0.814304863335565,0.143384063849226,0.989766085054725,0.694055366562679,0.0517066461034119
"NFP_51061","CMS1",0.73415239808357,0.768340016198714,0.694449998982031,0.456421804614567,0.217175904034872,0.476517061096684,0.613754833162457,0.440552569850956,0.111279894556438,0.449520172414059,0.619148403642197,0.292142108890728,0.310226633446291,0.20813593477942,0.180138955358416,0.633935757679865,0.826094803865999,0.344468041555956,0.0733863722998649,0.340535640250891,0.355798059143126,0.817856015171856,0.946475754259154,0.256273037753999,0.506138432305306,0.43460117536597,0.227273593423888,0.414395990315825,0.229177096392959,0.478053009836003,0.993477965937927,0.505170880118385,0.988830320769921,0.0505903661251068,0.280697503359988,0.556945815449581,0.502734250854701,0.768772778334096,0.615142141003162,0.587461427319795
"QKP_85110","CMS1",0.67386894145126,0.542022075466958,0.676740465949365,0.412226463176334,0.679468327308154,0.320783009601278,0.512967599177833,0.301231018507951,0.48127990169737,0.379321297138043,0.228225006610372,0.18256651696467,0.353970460128039,0.367419726913795,0.430498077301309,0.121352964779362,0.415392922470346,0.676296291640028,0.0169258126989007,0.739723653299734,0.527298625791445,0.833123137941584,0.16219842270948,0.681268609361723,0.365687900222838,0.81802326394245,0.20711284223944,0.0177780326921493,0.256132130045444,0.0787378116510808,0.676398596959189,0.661611840361729,0.473641300108284,0.666628106264398,0.644107972737402,0.175862835953012,0.614174799295142,0.0145834253635257,0.662989537697285,0.27917870040983
"EHO_78110","CMS1",0.709487737663288,0.623196429186051,0.794614946858072,0.426718823638346,0.177646478302661,0.315347718630345,0.452192359933212,0.291098786156714,0.491605677632401,0.102223958475534,0.147048817987786,0.429843778052242,0.297528508817777,0.885723171522841,0.365441974718124,0.600942231481895,0.8105982337147,0.922482769470662,0.491829904494807,0.309134069131687,0.376979895634577,0.960192237049341,0.252654585521668,0.184318167855963,0.47624119813554,0.790222012903541,0.601455051917583,0.478516383795068,0.113287207204849,0.399559571174905,0.701282446039841,0.87942125252448,0.921185039915144,0.262925973627716,0.825634338892996,0.843761561438441,0.645771534182131,0.0065937687177211,0.789328529499471,0.583305181004107
"SCV_21079","CMS1",0.759921451603371,0.568114280230199,0.479087841384022,0.252238177173076,0.0570944026850195,0.307238392257076,0.401069426202766,0.331135842731574,0.276402314922814,0.356943122139132,0.42104707213789,0.346713651809756,0.549049139255658,0.0640341949183494,0.738980630645528,0.359545300481841,0.910970628494397,0.218378654681146,0.481694074347615,0.00146219599992037,0.23086900729686,0.989023528294638,0.716401975369081,0.0222340193577111,0.412626768928021,0.86819779407233,0.322030113078654,0.025942439911887,0.701268488075584,0.25241654436104,0.553694148547947,0.533999059349298,0.768325078999624,0.146011281525716,0.00648355553857982,0.217520955717191,0.534282510867342,0.400804067729041,0.640073342015967,0.425951619865373
"FVA_5428","CMS1",0.624610317054267,0.412416372224627,0.530511274701755,0.320699074394661,0.434417211241874,0.281754105500312,0.51822300585552,0.587436023935871,0.344865852974,0.506822879626346,0.256391517822871,0.378739825033353,0.9985386794433,0.20371704408899,0.525590269360691,0.988944926764816,0.242040010169148,0.107762710191309,0.4523392226547,0.752431803615764,0.463435119949281,0.948942858260125,0.341496165608987,0.238923692144454,0.913139385171235,0.0757574569433928,0.0113458165433258,0.399582668673247,0.0764956332277507,0.0541851681191474,0.307326885173097,0.977383454563096,0.678750874940306,0.146990278270096,0.538950110320002,0.971921468619257,0.354308522539213,0.277268512640148,0.480278695002198,0.179225752595812
"CVB_10726","CMS1",0.592361067766586,0.5263762301699,0.592549055267199,0.294411236762216,0.43606934955337,0.515624485284392,0.580705567928946,0.5790415685893,0.135022408919025,0.425759153245987,0.408913840898951,0.356753909073613,0.779610323254019,0.322990827728063,0.652738969307393,0.147178061306477,0.886225970229134,0.188478469615802,0.641607249621302,0.0842839572578669,0.321031994186342,0.825284424470738,0.913343363208696,0.885621067602187,0.447344810469076,0.701397714205086,0.200409932993352,0.282286739442497,0.568381957476959,0.483653019415215,0.277797535993159,0.0251005755271763,0.886816772632301,0.764769027940929,0.792982463492081,0.47377364570275,0.319490119582042,0.995056227548048,0.0641013013664633,0.129499155795202
"PTF_4357","CMS1",0.755378253487931,0.368995591985732,0.527796764976718,0.147615493312427,0,0.16213171554402,0.369493962681152,0.255143865893314,0.494313290370069,0.725614456536807,0.156025930596181,0.461172454394158,0.179894182365388,0.959517994429916,0.0981647216249257,0.284862894564867,0.922299440018833,0.696441398235038,0.923657769802958,0.636302415048704,0.478947394760326,0.465969928540289,0.969135173363611,0.0482025078963488,0.319366563810036,0.107480234466493,0.788556802319363,0.218853163300082,0.988747796509415,0.624350717058405,0.388547405134887,0.0367512963712215,0.21947608422488,0.606757857603952,0.932725259568542,0.899528358131647,0.201507051708177,0.123122414341196,0.658975623780861,0.364596762228757
"TWG_8426","CMS1",0.668311099087396,0.501754143490542,0.544922307824909,0.3847430330721,0.358269595929494,0.26568366366852,0.504624604722786,0.285472451322196,0.240431539904178,0.172818101618273,0.447026490099772,0.353923236198603,0.778704840224236,0.426240274915472,0.0131896333768964,0.483689301647246,0.821367885218933,0.542387997964397,0.733141441131011,0.551862374646589,0.0665115339215845,0.196930036414415,0.263326164800674,0.283498179167509,0.331296195508912,0.0023076212964952,0.586618873756379,0.374236114323139,0.346127565950155,0.437940147239715,0.774548002518713,0.732863700017333,0.206513778306544,0.317188109504059,0.551119796000421,0.992450635647401,0.951468652114272,0.259447536198422,0.379950332688168,0.545962837990373
